Number xind yind east north data err wgt Elos Nlos Ulos
********************************************************
   1  164  665 84.13625 27.053750 -59.589916 11.61300  15823 0.73900 -0.12437 0.66212
   2  154  854 84.12792 27.211250 -55.686646 13.80844  51031 0.74118 -0.12437 0.65968
   3  460  854 84.38292 27.211250 -61.604847 14.72912  69973 0.72619 -0.12334 0.67634
   4  462  620 84.38458 27.016250 -77.843903 10.94900  33610 0.72382 -0.12330 0.67888
   5  766  610 84.63792 27.007917 -90.096169 11.71693  48227 0.70771 -0.12202 0.69589
   6  766  854 84.63792 27.211250 -68.440308 13.93545  71697 0.71026 -0.12208 0.69328
   7 1072  853 84.89292 27.210417 -80.857094 15.04294  68800 0.69334 -0.12058 0.71045
   8 1072  610 84.89292 27.007917 -106.295746 11.63228  56396 0.69060 -0.12045 0.71314
   9  154 1098 84.12792 27.414583 -8.000747 36.74241  36560 0.74340 -0.12433 0.65719
  10  169 1342 84.14042 27.617917 89.500572 30.08517  27385 0.74482 -0.12423 0.65560
  11  460 1342 84.38292 27.617917 65.257919 32.02298  67333 0.73086 -0.12333 0.67129
  12  460 1098 84.38292 27.414583 -31.803253 36.67282  65993 0.72866 -0.12335 0.67368
  13  205 1566 84.17042 27.804583 116.971893 13.08522  23213 0.74539 -0.12411 0.65497
  14  248 1798 84.20625 27.997917 110.633148 10.29176  12224 0.74545 -0.12393 0.65494
  15  460 1830 84.38292 28.024583 72.527359 21.52374  73308 0.73554 -0.12329 0.66617
  16  460 1586 84.38292 27.821250 96.096924 18.89716  72347 0.73361 -0.12337 0.66827
  17  766 1586 84.63792 27.821250 6.513027 35.83155  73557 0.71803 -0.12225 0.68519
  18  766 1830 84.63792 28.024583 28.823528 28.28704  73394 0.72061 -0.12230 0.68247
  19  939 1724 84.78208 27.936250 104.970642 27.96997   1203 0.71045 -0.12158 0.69317
  20  939 1754 84.78208 27.961250 190.883453 33.51031   1164 0.71056 -0.12155 0.69305
  21  977 1754 84.81375 27.961250 272.923584 28.32776   1135 0.70865 -0.12141 0.69503
  22  977 1724 84.81375 27.936250 175.290833 42.51424   1177 0.70838 -0.12142 0.69531
  23  958 1800 84.79792 27.999583 301.696930 63.08643   4615 0.70990 -0.12147 0.69375
  24 1034 1800 84.86125 27.999583 371.815857 18.93299   4559 0.70589 -0.12115 0.69789
